season,three_in_a_row,pct,sb_three_in_a_row
2000,124,0.48249027237354086,1
2001,126,0.4864864864864865,0
2002,135,0.5056179775280899,1
2003,128,0.4794007490636704,1
2004,125,0.4681647940074906,0
2005,133,0.49812734082397003,0
2006,123,0.4606741573033708,0
2007,144,0.5393258426966292,0
2008,159,0.5955056179775281,1
2009,135,0.5056179775280899,1
2010,140,0.5243445692883895,1
2011,141,0.5280898876404494,1
2012,144,0.5393258426966292,1
2013,152,0.5692883895131086,1
2014,141,0.5280898876404494,1
2015,155,0.5805243445692884,0
2016,148,0.5543071161048689,1
2017,148,0.5543071161048689,1
2018,156,0.5842696629213483,0
2019,156,0.5842696629213483,0
2020,169,0.6282527881040892,1
2021,181,0.6350877192982456,1
2022,154,0.5441696113074205,NA
