value,scope,type,description,column_format
eliasTeamId,ENTITY,INT,Elias Player ID,event.eliasTeamId
fullName,ENTITY,STRING,Full Name,event.fullName
abbrevName,ENTITY,STRING,Abbreviated Name,event.abbrevName
seasonYear,SEASON,INT,Season Year,event.seasonYear
seasonType,SEASON,ENUM,Season Type,event.seasonType
week,GAME,INT,Week,event.week
gameDate,GAME,DATE,Game Date,event.gameDate
eliasGameId,GAME,INT,Elias Game ID,event.eliasGameId
gsisGameKey,GAME,INT,NFL GSIS Game ID,event.gsisGameKey
playId,GAME_EVENT,INT,Id of the play,event.playId
quarter,GAME_EVENT,INT,Quarter,event.quarter
gameClock,GAME_EVENT,INT,Game Clock,event.gameClock
playType,GAME_EVENT,ENUM,Play Type,event.playType
playTypePrecise,GAME_EVENT,ENUM,Precise Play Type,event.playTypePrecise
espnSDRGameId,GAME,INT,ESPN SDR Game Id,event.espnSDRGameId
espnSDWGameId,GAME,INT,ESPN SDW Game Id,event.espnSDWGameId
espnMostRecentTeamId,ENTITY,INT,ESPN Team Id in Most Recent Game Data,event.espnMostRecentTeamId
espnEfficiencyData,GAME,FLAG,Has ESPN Efficiency data,event.espnEfficiencyData
espnHasOddsData,GAME,FLAG,ESPN Has Odds Data,event.espnHasOddsData
espnOddsTotalUnder,GAME,FLAG,ESPN Odds Over Under Total Under,event.espnOddsTotalUnder
espnPlayParticipationData,GAME,FLAG,ESPN Participation Data,event.espnPlayParticipationData
espnSDRSeasonId,GAME,INT,ESPN SDW Season Id,event.espnSDRSeasonId
espnSDWSeasonId,GAME,INT,ESPN SDW Season Id,event.espnSDWSeasonId
espnThrowTimingData,GAME,FLAG,ESPN Throw Timing Data,event.espnThrowTimingData
espnVATData,GAME,FLAG,Has ESPN VAT data,event.espnVATData
espnGameTeamId,GAME_ENTITY,INT,ESPN Team Id in Game Data,event.espnGameTeamId
espnOddsCoverLoss,GAME_ENTITY,FLAG,ESPN Odds Cover Loss for Team,event.espnOddsCoverLoss
espnOddsCoverWin,GAME_ENTITY,FLAG,ESPN Odds Cover Win for Team,event.espnOddsCoverWin
espnBoxCount,GAME_EVENT,INT,Box Count,event.espnBoxCount
espnDBPassRushersCount,GAME_EVENT,INT,DB Rusher Count,event.espnDBPassRushersCount
espnLeverageIndex,GAME_EVENT,FLOAT,ESPN Leverage Index,event.espnLeverageIndex
espnPassRushersCount,GAME_EVENT,INT,Rusher Count,event.espnPassRushersCount
espnPlayId,GAME_EVENT,INT,ESPN Unique Play Group Id,event.espnPlayId
espnRBCount,GAME_EVENT,INT,RB Count,event.espnRBCount
espnTECount,GAME_EVENT,INT,TE Count,event.espnTECount
espnVatPlaySubtype,GAME_EVENT,ENUM,ESPN VAT Play Subtype,event.espnVatPlaySubtype
espnVatPlayType,GAME_EVENT,ENUM,ESPN VAT Play Type,event.espnVatPlayType
espnWRCount,GAME_EVENT,INT,WR Count,event.espnWRCount
espnEndEp,GAME_EVENT_ENTITY,FLOAT,ESPN Team End EP,event.espnEndEp
espnEndWp,GAME_EVENT_ENTITY,FLOAT,ESPN Team End WP,event.espnEndWp
espnEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Team EPA,event.espnEpa
espnStartEp,GAME_EVENT_ENTITY,FLOAT,ESPN Team Start EP,event.espnStartEp
espnStartWp,GAME_EVENT_ENTITY,FLOAT,ESPN Team Start WP,event.espnStartWp
espnWpa,GAME_EVENT_ENTITY,FLOAT,ESPN Team WPA,event.espnWpa
espnAirYards,GAME_EVENT,INT,Air Yards,event.espnAirYards
espnCatchArea,GAME_EVENT,ENUM,ESPN Area relative to receiver catch was made,event.espnCatchArea
espnContactDistToGoal,GAME_EVENT,INT,ESPN Contact distance to goal,event.espnContactDistToGoal
espnCwPlays,GAME_EVENT,FLOAT,ESPN Clutch Weighted Play Count,event.espnCwPlays
espnDefFormation,GAME_EVENT,ENUM,ESPN Def Formation,event.espnDefFormation
espnDirection,GAME_EVENT,INT,ESPN Direction,event.espnDirection
espnLoaded,GAME_EVENT,ENUM,ESPN Loaded,event.espnLoaded
espnMotionType,GAME_EVENT,ENUM,ESPN Type of Motion,event.espnMotionType
espnOffFormation,GAME_EVENT,ENUM,ESPN Off Formation,event.espnOffFormation
espnPlayFromShotgun,GAME_EVENT,FLAG,Shotgun,event.espnPlayFromShotgun
espnPocket,GAME_EVENT,ENUM,ESPN Pocket,event.espnPocket
espnPreciseDirection,GAME_EVENT,INT,ESPN Precise Direction,event.espnPreciseDirection
espnShotgun,GAME_EVENT,ENUM,Shotgun,event.espnShotgun
espnThrownToDistToGoal,GAME_EVENT,INT,Thrown to distance to goal,event.espnThrownToDistToGoal
espnTimeBeforePass,GAME_EVENT,FLOAT,ESPN Time Before Pass,event.espnTimeBeforePass
espnTimeInPocket,GAME_EVENT,FLOAT,ESPN Time In Pocket,event.espnTimeInPocket
espnTip1,GAME_EVENT,FLOAT,ESPN Time In Pocket 1,event.espnTip1
espnVatPlay,GAME_EVENT,ENUM,ESPN VAT Play,event.espnVatPlay
espnVatResult,GAME_EVENT,ENUM,ESPN VAT Result,event.espnVatResult
espnYardsAfterCatch,GAME_EVENT,INT,Yards After the Catch,event.espnYardsAfterCatch
espnYardsAfterContact,GAME_EVENT,INT,Yards After Contact,event.espnYardsAfterContact
espnYardsBeforeContact,GAME_EVENT,INT,Yards Before Contact,event.espnYardsBeforeContact
espnActionPlay,GAME_EVENT_ENTITY,FLAG,ESPN Action Play,event.espnActionPlay
espnCwEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted QB EPA,event.espnCwEpa
espnCwPassEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted Pass EPA,event.espnCwPassEpa
espnCwTotalEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted QB EPA,event.espnCwTotalEpa
espnCwYacEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted Yac EPA,event.espnCwYacEpa
espnDIntEpa,GAME_EVENT_ENTITY,FLOAT,ESPN D Int EPA,event.espnDIntEpa
espnPassEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Pass EPA,event.espnPassEpa
espnTarget,GAME_EVENT_ENTITY,FLAG,ESPN Target,event.espnTarget
espnTotalEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Total QB EPA,event.espnTotalEpa
espnYacEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Yac EPA,event.espnYacEpa
espnDuressOrHit,GAME_EVENT,ENUM,ESPN Duress Or Hit,event.espnDuressOrHit
espnFirstPressurePlayerId,GAME_EVENT,INT,ESPN Id of First Player to create Pressure,event.espnFirstPressurePlayerId
espnPaOrDraw,GAME_EVENT,ENUM,ESPN PA or Draw,event.espnPaOrDraw
